CODIGO,ESTABLECIMIENTO,DIRECCION_STD,ZONA,TELEFONO,JORNADA,PLAN,MUNICIPIO,DEPARTAMENTO,DUP_CAPITAL_CODIGOS_DISTINTOS
00 - 01 - 0197 - 46,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,"CALLE 7, 3A. - 64",1,54452951,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0218 - 46,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,"CALLE 7, 3A. - 64",1,54452951,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0318 - 46,LICEO HISPANOAMERICANO NO. 2,"CALLE 7, 2A. - 11",1,22205687,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 0353 - 46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,"CALLE 10, 12 - 37",1,22201454,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 0366 - 46,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"CALLE 3, 10 - 15",1,36117881,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0376 - 46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,"CALLE 10, 12 - 37",1,22201454,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0377 - 46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,"CALLE 10, 12 - 37",1,22201454,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0458 - 46,LICEO CULTURAL ESPANOL,"AVENIDA 3, 4A. - 56",1,22382723,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0460 - 46,LICEO CULTURAL ESPANOL,"AVENIDA 3, 4A. - 56",1,22382723,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0520 - 46,LICEO MONTE SINAI,3A. AVENIDA . 7 - 34,1,56289897,MATUTINA,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0521 - 46,LICEO MONTE SINAI,3A. AVENIDA . 7 - 34,1,56289897,MATUTINA,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0534 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0582 - 46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,"CALLE 10, 12 - 37",1,22201454,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 0595 - 46,LICEO HISPANOAMERICANO NO. 2,"CALLE 7, 2A. - 11",1,22205687,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 0605 - 46,LICEO TECNICO CIENCIA Y DESARROLLO,"CALLE 3, 10 - 15",1,36117881,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 0638 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,DOBLE,A DISTANCIA,GUATEMALA,GUATEMALA,True
00 - 01 - 0677 - 46,COLEGIO CATOLICO SAN LUCAS,"CALLE 6, 14 - 82",1,22381236,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0685 - 46,COLEGIO CATOLICO SAN LUCAS,"CALLE 6, 14 - 82",1,22381236,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0688 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 0724 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,DOBLE,A DISTANCIA,GUATEMALA,GUATEMALA,True
00 - 01 - 0844 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 2461 - 46,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,24637777,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 2908 - 46,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"CALLE 3, 10 - 15",1,36117881,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 4396 - 46,LICEO GUATEMALTECO DE COMPUTACION,"AVENIDA 15, 4A. - 57",1,22326419,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 7321 - 46,LICEO TECNICO CIENCIA Y DESARROLLO,"CALLE 3, 10 - 15",1,36117881,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 7841 - 46,LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA,"CALLE 0, 9A. - 39",1,52331784,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 8971 - 46,LICEO JUAN MANTOVANI,"CALLE 2, 12 - 45",1,22519398,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 9187 - 46,LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA,"CALLE 0, 9A. - 39",1,52331784,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 9563 - 46,LICEO JUAN MANTOVANI,"CALLE 2, 12 - 45",1,22519398,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
