KEY,ESTABLECIMIENTO,DIRECCION_STD,ZONA,JORNADA,PLAN,TELEFONO,MUNICIPIO,DEPARTAMENTO,N_FILAS,CODIGOS,CODIGOS_DISTINTOS
"CENTRO EDUCATIVO CRISTIANO FUENTE DE VIDA NUMERO 2|AVENIDA 1, COLONIA LA FLORIDA, 6A. - 67|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22775656",CENTRO EDUCATIVO CRISTIANO FUENTE DE VIDA NUMERO 2,"AVENIDA 1, COLONIA LA FLORIDA, 6A. - 67",19,DOBLE,FIN DE SEMANA,22775656,GUATEMALA,GUATEMALA,2,00 - 19 - 0063 - 46 | 00 - 19 - 0064 - 46,True
"CENTRO HUMANISTA DE ESTUDIOS TECNOLOGICOS ABRAHAM MASLOW|COLONIA LAS VICTORIAS, 1A. CALLE C 20 - 32|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22510952",CENTRO HUMANISTA DE ESTUDIOS TECNOLOGICOS ABRAHAM MASLOW,"COLONIA LAS VICTORIAS, 1A. CALLE C 20 - 32",1,DOBLE,FIN DE SEMANA,22510952,GUATEMALA,GUATEMALA,2,00 - 01 - 9816 - 46 | 00 - 01 - 9817 - 46,True
"COLEGIO BELLO AMANECER 2|COLONIA LAS ILUSIONES, LOTE 101 Y 102 SECCION C|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|42169124",COLEGIO BELLO AMANECER 2,"COLONIA LAS ILUSIONES, LOTE 101 Y 102 SECCION C",18,MATUTINA,DIARIO(REGULAR),42169124,GUATEMALA,GUATEMALA,2,00 - 18 - 0211 - 46 | 00 - 18 - 0257 - 46,True
"COLEGIO CATOLICO SAN LUCAS|CALLE 6, 14 - 82|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22381236",COLEGIO CATOLICO SAN LUCAS,"CALLE 6, 14 - 82",1,DOBLE,FIN DE SEMANA,22381236,GUATEMALA,GUATEMALA,2,00 - 01 - 0677 - 46 | 00 - 01 - 0685 - 46,True
"COLEGIO DE SENORITAS SANTA INES|AVENIDA 7, 7A. - 71|GUATEMALA|GUATEMALA|VESPERTINA|DIARIO(REGULAR)|22541047",COLEGIO DE SENORITAS SANTA INES,"AVENIDA 7, 7A. - 71",2,VESPERTINA,DIARIO(REGULAR),22541047,GUATEMALA,GUATEMALA,2,00 - 02 - 0091 - 46 | 00 - 02 - 0092 - 46,True
"COLEGIO PANAMERICANO NO. 6|AVENIDA 0, 35 - 45, PLAZA HELVETIA|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|24964444",COLEGIO PANAMERICANO NO. 6,"AVENIDA 0, 35 - 45, PLAZA HELVETIA",11,MATUTINA,DIARIO(REGULAR),24964444,GUATEMALA,GUATEMALA,2,00 - 11 - 0019 - 46 | 00 - 11 - 0036 - 46,True
"COLEGIO TECNICO EN COMPUTACION SAN JUAN|CALLE 8, COLONIA QUINTA SAMAYOA, 9A. - 63 Y 8 - 67|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|24754329",COLEGIO TECNICO EN COMPUTACION SAN JUAN,"CALLE 8, COLONIA QUINTA SAMAYOA, 9A. - 63 Y 8 - 67",7,DOBLE,FIN DE SEMANA,24754329,GUATEMALA,GUATEMALA,2,00 - 07 - 0114 - 46 | 00 - 07 - 0116 - 46,True
"COLEGIO VALVERDE NO.2|AVENIDA 4, 4A. - 49|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|22093200",COLEGIO VALVERDE NO.2,"AVENIDA 4, 4A. - 49",1,MATUTINA,DIARIO(REGULAR),22093200,GUATEMALA,GUATEMALA,2,00 - 01 - 9788 - 46 | 00 - 01 - 9789 - 46,True
"INED M. A. HERMENEGILDO DE JESUS PEREIRA DEL CID|AVENIDA 5, COLONIA LA FLORIDA, 9A. - 05|GUATEMALA|GUATEMALA|NOCTURNA|DIARIO(REGULAR)|55053278",INED M. A. HERMENEGILDO DE JESUS PEREIRA DEL CID,"AVENIDA 5, COLONIA LA FLORIDA, 9A. - 05",19,NOCTURNA,DIARIO(REGULAR),55053278,GUATEMALA,GUATEMALA,2,00 - 19 - 0102 - 46 | 00 - 19 - 0112 - 46,True
INSTITUTO GUATEMALTECO AMERICANO - IGA -|RUTA 14 - 05|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|24225555,INSTITUTO GUATEMALTECO AMERICANO - IGA -,RUTA 14 - 05,4,MATUTINA,DIARIO(REGULAR),24225555,GUATEMALA,GUATEMALA,2,00 - 04 - 0005 - 46 | 00 - 04 - 0376 - 46,True
"INSTITUTO GUILLERMO PUTZEYS ALVAREZ|CALLE 3, 11 - 59|GUATEMALA|GUATEMALA|DOBLE|A DISTANCIA|24637777",INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,DOBLE,A DISTANCIA,24637777,GUATEMALA,GUATEMALA,2,00 - 01 - 0638 - 46 | 00 - 01 - 0724 - 46,True
"INSTITUTO GUILLERMO PUTZEYS ALVAREZ|CALLE 3, 11 - 59|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|24637777",INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,DOBLE,FIN DE SEMANA,24637777,GUATEMALA,GUATEMALA,3,00 - 01 - 0534 - 46 | 00 - 01 - 0688 - 46 | 00 - 01 - 9773 - 46,True
"INSTITUTO GUILLERMO PUTZEYS ALVAREZ|CALLE 3, 11 - 59|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|24637777",INSTITUTO GUILLERMO PUTZEYS ALVAREZ,"CALLE 3, 11 - 59",1,MATUTINA,DIARIO(REGULAR),24637777,GUATEMALA,GUATEMALA,2,00 - 01 - 0844 - 46 | 00 - 01 - 2461 - 46,True
"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ|AVENIDA 26, CALZADA JOSE MILLA Y VIDAURRE Y 26, FINAL|GUATEMALA|GUATEMALA|NOCTURNA|DIARIO(REGULAR)|22702943",INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ,"AVENIDA 26, CALZADA JOSE MILLA Y VIDAURRE Y 26, FINAL",6,NOCTURNA,DIARIO(REGULAR),22702943,GUATEMALA,GUATEMALA,2,00 - 06 - 0077 - 46 | 00 - 06 - 0078 - 46,True
"INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO|CALLE 3, 10 - 15|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|36117881",INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"CALLE 3, 10 - 15",1,DOBLE,FIN DE SEMANA,36117881,GUATEMALA,GUATEMALA,2,00 - 01 - 0366 - 46 | 00 - 01 - 2908 - 46,True
INSTITUTO PRIVADO MIXTO SAN JUAN|CALZADA SAN JUAN 31 - 47|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|59515512,INSTITUTO PRIVADO MIXTO SAN JUAN,CALZADA SAN JUAN 31 - 47,7,DOBLE,FIN DE SEMANA,59515512,GUATEMALA,GUATEMALA,2,00 - 07 - 9200 - 46 | 00 - 07 - 9402 - 46,True
INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO|CALZADA SAN JUAN 31 - 47|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|24392574,INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,CALZADA SAN JUAN 31 - 47,7,DOBLE,FIN DE SEMANA,24392574,GUATEMALA,GUATEMALA,2,00 - 07 - 0080 - 46 | 00 - 07 - 0093 - 46,True
"LICEO CANADIENSE SOCIEDAD ANONIMA|DIAGONAL 19, AVENIDA PETAPA, 40 - 54|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|23750070",LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,DOBLE,FIN DE SEMANA,23750070,GUATEMALA,GUATEMALA,2,00 - 12 - 0051 - 46 | 00 - 12 - 0052 - 46,True
"LICEO CANADIENSE SOCIEDAD ANONIMA|DIAGONAL 19, AVENIDA PETAPA, 40 - 54|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|23750070",LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,MATUTINA,DIARIO(REGULAR),23750070,GUATEMALA,GUATEMALA,2,00 - 12 - 0048 - 46 | 00 - 12 - 0055 - 46,True
"LICEO CANADIENSE SOCIEDAD ANONIMA|DIAGONAL 19, AVENIDA PETAPA, 40 - 54|GUATEMALA|GUATEMALA|VESPERTINA|DIARIO(REGULAR)|23750070",LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,VESPERTINA,DIARIO(REGULAR),23750070,GUATEMALA,GUATEMALA,2,00 - 12 - 0049 - 46 | 00 - 12 - 0056 - 46,True
"LICEO CULTURAL ESPANOL|AVENIDA 3, 4A. - 56|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22382723",LICEO CULTURAL ESPANOL,"AVENIDA 3, 4A. - 56",1,DOBLE,FIN DE SEMANA,22382723,GUATEMALA,GUATEMALA,2,00 - 01 - 0458 - 46 | 00 - 01 - 0460 - 46,True
"LICEO CUMORAH PINOS|CALLE 31, 31 CALLE B 28 - 97, ALDEA LAS TAPIAS|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|22603106",LICEO CUMORAH PINOS,"CALLE 31, 31 CALLE B 28 - 97, ALDEA LAS TAPIAS",18,MATUTINA,DIARIO(REGULAR),22603106,GUATEMALA,GUATEMALA,2,00 - 18 - 0154 - 46 | 00 - 18 - 0156 - 46,True
"LICEO DE CIENCIA Y TECNOLOGIA|COLONIA EL RODEO, CALZADA SAN JUAN 37 - 78|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|24321644",LICEO DE CIENCIA Y TECNOLOGIA,"COLONIA EL RODEO, CALZADA SAN JUAN 37 - 78",7,DOBLE,FIN DE SEMANA,24321644,GUATEMALA,GUATEMALA,2,00 - 07 - 9094 - 46 | 00 - 07 - 9545 - 46,True
"LICEO GUATEMALTECO DE COMPUTACION|AVENIDA 15, 4A. - 57|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22326419",LICEO GUATEMALTECO DE COMPUTACION,"AVENIDA 15, 4A. - 57",1,DOBLE,FIN DE SEMANA,22326419,GUATEMALA,GUATEMALA,2,00 - 01 - 4396 - 46 | 00 - 01 - 9781 - 46,True
"LICEO HISPANOAMERICANO NO. 2|CALLE 7, 2A. - 11|GUATEMALA|GUATEMALA|MATUTINA|DIARIO(REGULAR)|22205687",LICEO HISPANOAMERICANO NO. 2,"CALLE 7, 2A. - 11",1,MATUTINA,DIARIO(REGULAR),22205687,GUATEMALA,GUATEMALA,2,00 - 01 - 0318 - 46 | 00 - 01 - 0595 - 46,True
"LICEO JUAN MANTOVANI|CALLE 2, 12 - 45|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|22519398",LICEO JUAN MANTOVANI,"CALLE 2, 12 - 45",1,DOBLE,FIN DE SEMANA,22519398,GUATEMALA,GUATEMALA,2,00 - 01 - 8971 - 46 | 00 - 01 - 9563 - 46,True
"LICEO MIXTO EN COMPUTACION ROTTERDAM|31 AVENIDA14 - 12 , CIUDAD DE PLATA II|GUATEMALA|GUATEMALA|SIN JORNADA|SEMIPRESENCIAL (DOS DIAS A LA SEMANA)|24738493",LICEO MIXTO EN COMPUTACION ROTTERDAM,"31 AVENIDA14 - 12 , CIUDAD DE PLATA II",7,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),24738493,GUATEMALA,GUATEMALA,2,00 - 07 - 0207 - 46 | 00 - 07 - 0210 - 46,True
LICEO MONTE SINAI|3A. AVENIDA . 7 - 34|GUATEMALA|GUATEMALA|MATUTINA|FIN DE SEMANA|56289897,LICEO MONTE SINAI,3A. AVENIDA . 7 - 34,1,MATUTINA,FIN DE SEMANA,56289897,GUATEMALA,GUATEMALA,2,00 - 01 - 0520 - 46 | 00 - 01 - 0521 - 46,True
"LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA|CALLE 0, 9A. - 39|GUATEMALA|GUATEMALA|DOBLE|FIN DE SEMANA|52331784",LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA,"CALLE 0, 9A. - 39",1,DOBLE,FIN DE SEMANA,52331784,GUATEMALA,GUATEMALA,2,00 - 01 - 7841 - 46 | 00 - 01 - 9187 - 46,True
