CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,DEPARTAMENTO_ORIGEN,ESTABLECIMIENTO_ORIG,DIRECCION_ORIG,TELEFONO_ORIG,TELEFONO_VALIDO,ZONA,DIRECCION_STD,DIR_AVENIDA,DIR_CALLE,DIR_KM,DIR_NUMERO,__KEY_MERGE_CAP__,DUP_CAPITAL_MERGE,DUP_CAPITAL_CODIGOS_DISTINTOS
16 - 01 - 0138 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,True,8,"KM 2, SALIDA A SAN JUAN CHAMELCO",,,2,,"COLEGIO COBAN|KM 2, SALIDA A SAN JUAN CHAMELCO|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|77945104",False,False
16 - 01 - 0139 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,True,,"KM 209.5, ENTRADA A LA CIUDAD",,,209.5,,"COLEGIO PARTICULAR MIXTO VERAPAZ|KM 209.5, ENTRADA A LA CIUDAD|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|77367402",False,False
16 - 01 - 0140 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO LA INMACULADA,7A. AVENIDA 11 - 109 ZONA 6,78232301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11 - 109 ZONA 6,78232301,True,6,"AVENIDA 11, 7A. - 109",11,,,,"COLEGIO LA INMACULADA|AVENIDA 11, 7A. - 109|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|78232301",False,False
16 - 01 - 0141 - 46,16 - 005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11 - 10 ZONA 2,79514215,NORA LILIANA FIGUEROA HERNÁNDEZ,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11 - 10 ZONA 2,79514215,True,2,"CALLE 11, 2A - 10",,11,,,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES|CALLE 11, 2A - 10|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79514215",False,False
16 - 01 - 0142 - 46,16 - 005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6 - 23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6 - 23 ZONA 11,79521468,True,11,"AVENIDA 6, 3A - 23",6,,,,"INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE'|AVENIDA 6, 3A - 23|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79521468",False,False
16 - 01 - 0143 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1 - 9 ZONA 3,57101061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1 - 9 ZONA 3,57101061,True,3,"CALLE 1, 5A. - 9",,1,,,"COLEGIO PARTICULAR MIXTO IMPERIAL|CALLE 1, 5A. - 9|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|57101061",False,False
16 - 01 - 0155 - 46,16 - 031,ALTA VERAPAZ,COBAN,LICEO MODERNO LATINO,11 AVENIDA 5 - 17 ZONA 4,79522555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,"LICEO ""MODERNO LATINO""",11 AVENIDA 5 - 17 ZONA 4,79522555,True,4,"AVENIDA 5, 11 - 17",5,,,,"LICEO MODERNO LATINO|AVENIDA 5, 11 - 17|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|79522555",False,False
16 - 01 - 0428 - 46,16 - 005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8 - 05 ZONA 8, BARRIO CANTÓN LAS CASAS",77930045,NORA LILIANA FIGUEROA HERNÁNDEZ,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8 - 05 ZONA 8, BARRIO CANTÓN LAS CASAS",77930045,True,8,"BARRIO CANTON LAS CASAS, DIAGONAL 08 8 - 05",,,,,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|BARRIO CANTON LAS CASAS, DIAGONAL 08 8 - 05|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|77930045",False,False
16 - 01 - 0471 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,12 AV. 2 - 12 ZONA 1,79545566,PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AV. 2 - 12 ZONA 1,79545566,True,1,"AVENIDA 12, 12 AVENIDA . 2 - 12",12,,,,"COLEGIO DE INFORMATICA CENINFAV|AVENIDA 12, 12 AVENIDA . 2 - 12|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79545566",False,False
16 - 01 - 0481 - 46,16 - 031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2 - 23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,LICEO AMERICANO DEL NORTE,5TA. CALLE 2 - 23 ZONA 4,79514754,True,4,"CALLE 2, 5TA. - 23",,2,,,"LICEO AMERICANO DEL NORTE|CALLE 2, 5TA. - 23|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79514754",False,False
